time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
3.469931,0.649196,0.481572,0.452361
3.474931,nan,0.491262,0.459419
3.479930,0.499068,0.495744,0.466454
3.484930,nan,0.500751,0.473477
3.489929,0.504996,0.506961,0.480509
3.494929,nan,0.518662,0.487533
3.499929,0.378661,0.513169,0.494537
3.504928,nan,0.521610,0.501565
3.509928,0.562216,0.532023,0.508612
3.514928,nan,0.545732,0.515660
3.519927,0.449661,0.542316,0.522698
3.524927,nan,0.551788,0.529710
3.529927,0.465014,0.547863,0.536680
3.534926,nan,0.551021,0.543604
3.539926,0.594123,0.556093,0.550513
3.544925,nan,0.565961,0.557438
3.549925,0.540253,0.568099,0.564393
3.554925,nan,0.580443,0.571398
3.559924,0.579654,0.584604,0.578466
3.564924,nan,0.594684,0.585560
3.569924,0.585517,0.596550,0.592656
3.574923,nan,0.607782,0.599739
3.579923,0.577997,0.609628,0.606806
3.584923,nan,0.619935,0.613837
3.589922,0.543600,0.621800,0.620834
3.594922,nan,0.635880,0.627807
3.599921,0.639059,0.641413,0.634764
